case_id	stem	cc	group	sources
103337-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_01	gcc	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_01.c
103338-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_02	gcc	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_02.c
103339-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_03	gcc	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_03.c
103340-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_04	gcc	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_04.c
103341-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_05	gcc	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_05.c
103342-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_06	gcc	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_06.c
103343-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_07	gcc	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_07.c
103344-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_08	gcc	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_08.c
103345-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_09	gcc	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_09.c
103346-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_10	gcc	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_10.c
103347-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_11	gcc	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_11.c
103349-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_13	gcc	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_13.c
103350-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_14	gcc	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_14.c
103351-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_15	gcc	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_15.c
103352-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_16	gcc	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_16.c
103353-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_17	gcc	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_17.c
103354-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_18	gcc	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_18.c
103355-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_43	g++	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_43.cpp
103356-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_62a	g++	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_62a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_62b.cpp
103357-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_63a	gcc	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_63a.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_63b.c
103358-v1.0.0	CWE457_Use_of_Uninitialized_Variable__char_pointer_64a	gcc	pointers	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_64a.c,s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_64b.c
103359-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_01	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_01.c
103360-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_02	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_02.c
103361-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_03	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_03.c
103362-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_04	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_04.c
103363-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_05	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_05.c
103364-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_06	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_06.c
103365-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_07	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_07.c
103366-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_08	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_08.c
103367-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_09	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_09.c
103368-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_10	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_10.c
103369-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_11	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_11.c
103371-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_13	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_13.c
103372-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_14	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_14.c
103373-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_15	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_15.c
103374-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_16	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_16.c
103375-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_17	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_17.c
103376-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_18	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_18.c
103377-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_43	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_43.cpp
103378-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_62a	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_62a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__double_62b.cpp
103379-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_63a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_63a.c,s01/CWE457_Use_of_Uninitialized_Variable__double_63b.c
103380-v1.0.0	CWE457_Use_of_Uninitialized_Variable__double_64a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__double_64a.c,s01/CWE457_Use_of_Uninitialized_Variable__double_64b.c
